Ticker,Price,Volume,Timestamp,% Change,RVOL,AI Signal,Autonomous Rank,Watchlist Status,Market Leader,Sector,Sector Rotation,Opportunity Score,Institutional Signal,Smart Money,Opportunity Type,Trade Plan,Entry Price,Stop Loss,Target 1,Target 2,Target 3,Trade Quality,Risk Classification,Portfolio Priority,Capital Allocation,Portfolio Balance,Heatmap Signal,Market Sentiment,AI Conviction,Execution Readiness
SMCI,35.22,36108832,2026-05-25 17:49:58.937182,-0.12,0,No Signal,0,Normal,No,Semiconductors,Neutral,0,Neutral,Neutral,Neutral,No Trade,35.22,34.16,36.28,37.33,38.74,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
LUNR,38.15,13463439,2026-05-25 17:49:59.183398,0.03,0,No Signal,0,Normal,No,Space,Neutral,0,Neutral,Neutral,Neutral,No Trade,38.15,37.01,39.29,40.44,41.96,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
IREN,56.23,31978410,2026-05-25 17:49:59.393817,0.0,0,No Signal,0,Normal,No,High Beta,Neutral,0,Neutral,Neutral,Neutral,No Trade,56.23,54.54,57.92,59.61,61.85,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
RKLB,134.15,31190684,2026-05-25 17:49:59.680613,-0.25,0,No Signal,0,Normal,No,Space,Neutral,0,Neutral,Neutral,Neutral,No Trade,134.15,130.13,138.17,142.2,147.57,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
NNE,26.51,1992829,2026-05-25 17:50:00.366769,0.04,0,No Signal,0,Normal,No,Energy/Nuclear,Neutral,0,Neutral,Neutral,Neutral,No Trade,26.51,25.71,27.31,28.1,29.16,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
MSTR,158.75,11144313,2026-05-25 17:50:00.679414,0.0,0,No Signal,0,Normal,No,High Beta,Neutral,0,Neutral,Neutral,Neutral,No Trade,158.75,153.99,163.51,168.28,174.62,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
RGTI,25.86,185464079,2026-05-25 17:50:01.008122,0.27,0,No Signal,0,Normal,No,Quantum,Neutral,0,Neutral,Neutral,Neutral,No Trade,25.86,25.08,26.63,27.41,28.45,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
SOUN,8.16,31698389,2026-05-25 17:50:01.312995,0.0,0,No Signal,0,Normal,No,AI Software,Neutral,0,Neutral,Neutral,Neutral,No Trade,8.16,7.92,8.4,8.65,8.98,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
JOBY,10.84,34383699,2026-05-25 17:50:01.588249,0.0,0,No Signal,0,Normal,No,Space,Neutral,0,Neutral,Neutral,Neutral,No Trade,10.84,10.52,11.17,11.49,11.92,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
CEG,293.8,2402699,2026-05-25 17:50:01.862712,-0.06,0,No Signal,0,Normal,No,Energy/Nuclear,Neutral,0,Neutral,Neutral,Neutral,No Trade,293.8,284.99,302.61,311.43,323.18,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
ARM,304.08,13371940,2026-05-25 17:50:02.166423,-0.07,0,No Signal,0,Normal,No,Semiconductors,Neutral,0,Neutral,Neutral,Neutral,No Trade,304.08,294.96,313.2,322.32,334.49,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
TSM,403.49,6062886,2026-05-25 17:50:02.495361,0.01,0,No Signal,0,Normal,No,Semiconductors,Neutral,0,Neutral,Neutral,Neutral,No Trade,403.49,391.39,415.59,427.7,443.84,🔴 Weak Setup,⚫ Avoid,❌ Avoid,⚫ No Allocation,⚖️ Balanced,⚪ Neutral,⚖️ Neutral,🔴 Avoid Conviction,❌ Avoid Execution
